TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;13,98;;43,08;1,37;0,64;31,40;12,33;3,31;11,58;15,82;4,30;0,51;1,43;-36,80;-0,81;0,93;3,19;1,48;6,14;0,46;0,52;0,45;5,83;;12.739.093,67;10,19;0,32;-0,31;1.646.635.998,72
ABCB4;15,37;5,95;6,72;0,76;0,07;45,93;38,82;23,64;4,09;4,09;;;1,59;0,93;-0,08;2,68;11,37;1,04;;0,09;0,91;0,04;1,17;5,92;14.384.654,25;20,15;2,29;0,12;3.479.526.916,02
ABEV3;14,79;4,10;14,63;2,67;1,72;51,93;27,80;22,84;12,02;11,17;-0,88;-0,20;3,34;32,71;-2,39;1,23;18,27;11,73;19,13;0,64;0,35;0,51;4,56;4,99;326.942.954,89;5,51;1,01;0,18;232.545.558.536,13
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;6,06;;69,83;4,58;1,57;9,96;7,06;2,52;24,92;27,61;2,86;0,53;1,76;3,41;-4,51;3,40;6,56;2,25;7,41;0,34;0,66;0,89;;;14.592.805,47;1,33;0,09;-1,35;4.627.929.274,24
AESB3;11,11;2,08;12,27;2,46;0,50;16,81;8,41;36,44;53,17;103,80;50,58;2,34;4,47;978,40;-0,56;1,00;20,04;4,08;-5,31;0,20;0,72;0,11;;;12.444.726,81;4,52;0,91;;5.472.224.224,40
AFLT3;8,85;7,12;28,34;3,12;2,84;67,45;53,41;50,68;26,90;25,97;-0,92;-0,11;14,36;12,64;-3,79;9,63;11,02;10,03;10,66;0,91;0,09;0,20;5,56;9,29;4.505,71;2,83;0,31;-2,58;558.299.595,00
AGRO3;26,40;9,93;6,35;1,24;0,79;27,33;21,57;45,98;13,54;12,61;-0,99;-0,09;2,92;2,46;-1,62;2,66;19,50;12,41;5,76;0,64;0,36;0,27;55,29;121,45;15.812.274,56;21,32;4,16;0,02;2.714.014.482,08
AGXY3;9,93;;2.593,15;1,27;0,29;6,94;-2,02;0,02;-22,06;-31,66;-9,63;0,55;0,45;2,66;-1,30;1,16;0,05;0,01;-3,63;0,23;0,77;0,65;;;833.722,00;7,99;0,00;;1.725.332.388,90
AHEB3;27,50;;-3,88;-4,89;0,83;22,55;-19,49;-31,68;-6,31;-6,22;0,18;;1,23;-3,36;-1,07;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;11.149,63;-5,63;-7,08;-0,01;238.221.493,00
AHEB5;22,00;;-3,11;-3,91;0,67;22,55;-19,49;-31,68;-5,05;-6,22;0,18;;0,98;-2,69;-0,86;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;2.348,50;-5,63;-7,08;-0,01;238.221.493,00
AHEB6;51,50;;-7,27;-9,15;1,56;22,55;-19,49;-31,68;-11,82;-6,22;0,18;;2,30;-6,30;-2,01;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;6.742,00;-5,63;-7,08;-0,02;238.221.493,00
ALLD3;15,00;5,07;4,11;0,92;0,34;15,43;8,39;5,93;2,91;2,75;-0,12;-0,04;0,24;1,46;-1,23;1,47;22,32;8,19;21,00;0,37;0,63;1,38;;;2.740.885,08;16,34;3,65;0,02;1.382.461.231,06
ALPA3;25,56;1,55;33,44;4,51;2,82;53,38;15,21;11,09;24,38;25,03;-1,08;-0,20;3,71;9,41;-6,46;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;90.313,47;5,67;0,76;0,28;16.097.731.551,85
ALPA4;28,73;1,52;37,52;5,06;3,16;53,38;15,21;11,09;27,35;25,03;-1,08;-0,20;4,16;10,56;-7,25;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;82.005.098,94;5,67;0,76;0,31;16.097.731.551,85
ALPK3;4,11;;-4,49;1,69;0,33;24,17;-1,08;-25,12;-104,91;-277,02;-173,14;2,79;1,13;-1,58;-0,36;0,31;-37,55;-7,29;-0,54;0,19;0,80;0,29;;;69.687,75;2,41;-0,91;-0,26;843.203.855,78
ALSO3;21,07;1,08;34,04;0,84;0,50;66,45;37,03;18,73;17,22;19,81;2,67;0,13;6,38;4,56;-0,60;3,18;2,46;1,48;2,73;0,60;0,30;0,08;19,22;11,10;31.788.427,31;25,19;0,62;-0,89;5.570.597.426,88
ALUP11;24,45;3,44;5,09;1,08;0,29;72,94;72,21;21,59;1,52;3,21;1,69;1,20;1,10;4,12;-0,35;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;21.425.945,72;22,54;4,80;0,04;7.155.965.729,66
ALUP3;8,19;3,42;5,12;1,09;0,29;72,94;72,21;21,59;1,53;3,21;1,69;1,20;1,11;4,15;-0,35;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;91.073,22;7,51;1,60;0,04;7.155.965.729,66
ALUP4;8,06;3,47;5,04;1,07;0,29;72,94;72,21;21,59;1,51;3,21;1,69;1,20;1,09;4,08;-0,34;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;113.560,75;7,51;1,60;0,04;7.155.965.729,66
AMAR3;3,11;;2,89;0,87;0,24;45,25;-0,62;11,55;-53,38;-133,37;-80,16;1,31;0,33;3,28;-0,49;1,17;30,18;8,34;-3,69;0,28;0,72;0,72;-7,53;;26.848.702,19;3,56;1,07;-0,02;808.550.223,51
AMBP3;34,98;0,27;29,13;3,35;0,84;21,34;17,76;9,27;15,21;20,96;5,92;1,30;2,70;5,26;-1,29;1,82;11,51;2,87;5,24;0,25;0,72;0,31;;;31.397.268,36;10,42;1,20;0,05;3.900.795.209,52
